Año;Country Name;Series Code;Valor
1992;Africa Eastern and Southern;EG.USE.ELEC.KH.PC;733.35
1992;Africa Eastern and Southern;NY.GDP.PCAP.KD.ZG;-4.68
1992;Africa Western and Central;EG.USE.ELEC.KH.PC;133.52
1992;Africa Western and Central;NY.GDP.PCAP.KD.ZG;0.01
1992;Albania;EG.USE.ELEC.KH.PC;453.64
1992;Albania;NY.GDP.PCAP.KD.ZG;-6.62
1992;Algeria;EG.USE.ELEC.KH.PC;559.78
1992;Algeria;NY.GDP.PCAP.KD.ZG;-0.56
1992;Andorra;NY.GDP.PCAP.KD.ZG;-2.87
1992;Angola;EG.USE.ELEC.KH.PC;53.49
1992;Angola;NY.GDP.PCAP.KD.ZG;-8.88
1992;Antigua and Barbuda;NY.GDP.PCAP.KD.ZG;-0.56
1992;Arab World;EG.USE.ELEC.KH.PC;1072.09
1992;Arab World;NY.GDP.PCAP.KD.ZG;3.28
1992;Argentina;EG.USE.ELEC.KH.PC;1410.38
1992;Argentina;NY.GDP.PCAP.KD.ZG;6.49
1992;Armenia;EG.USE.ELEC.KH.PC;1962.64
1992;Armenia;NY.GDP.PCAP.KD.ZG;-40.74
1992;Aruba;NY.GDP.PCAP.KD.ZG;0.27
1992;Australia;EG.USE.ELEC.KH.PC;8550.33
1992;Australia;NY.GDP.PCAP.KD.ZG;-0.8
1992;Austria;EG.USE.ELEC.KH.PC;6227.5
1992;Austria;NY.GDP.PCAP.KD.ZG;0.98
1992;Azerbaijan;EG.USE.ELEC.KH.PC;2276.06
1992;Azerbaijan;NY.GDP.PCAP.KD.ZG;-23.76
1992;Bahamas, The;NY.GDP.PCAP.KD.ZG;-5.64
1992;Bahrain;EG.USE.ELEC.KH.PC;18498.06
1992;Bahrain;NY.GDP.PCAP.KD.ZG;3.97
1992;Bangladesh;EG.USE.ELEC.KH.PC;60.41
1992;Bangladesh;NY.GDP.PCAP.KD.ZG;3.11
1992;Barbados;NY.GDP.PCAP.KD.ZG;-6.04
1992;Belarus;EG.USE.ELEC.KH.PC;3912.7
1992;Belarus;NY.GDP.PCAP.KD.ZG;-9.8
1992;Belgium;EG.USE.ELEC.KH.PC;6850.66
1992;Belgium;NY.GDP.PCAP.KD.ZG;1.12
1992;Belize;NY.GDP.PCAP.KD.ZG;10.22
1992;Benin;EG.USE.ELEC.KH.PC;38.82
1992;Benin;NY.GDP.PCAP.KD.ZG;-0.56
1992;Bermuda;NY.GDP.PCAP.KD.ZG;0.67
1992;Bhutan;NY.GDP.PCAP.KD.ZG;4.62
1992;Bolivia;EG.USE.ELEC.KH.PC;290.05
1992;Bolivia;NY.GDP.PCAP.KD.ZG;-0.48
1992;Bosnia and Herzegovina;EG.USE.ELEC.KH.PC;1111.33
